point,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,bars,beat,time_value,finger
58,-0.007874,0.,-0.007874,0.007874,0.015748,0.007874,0.007874,-0.007874,7,1,0.320484,0
59,0.007874,-0.007874,0.015748,-0.031496,-0.055118,-0.023622,-0.007874,0.031496,7,1,0.301134,0
60,-0.023622,0.007874,-0.007874,0.015748,0.055118,0.007874,0.007874,0.110236,7,1,0.301134,0
61,-0.031496,-0.023622,-0.03937,-0.007874,-0.023622,0.,-0.007874,-0.220472,7,1,0.281784,0
62,0.,0.015748,-0.007874,0.,0.031496,-0.015748,-0.015748,0.007874,7,1,0.281784,0
63,0.015748,0.,0.,0.,-0.023622,-0.023622,-0.007874,0.086614,7,1,0.262434,0
64,-0.015748,-0.023622,0.,0.03937,-0.015748,0.007874,-0.015748,-0.047244,7,1,0.262434,0
65,-0.031496,0.007874,0.007874,-0.007874,0.007874,0.023622,-0.015748,-0.047244,7,1,0.243084,0
66,-0.03937,0.,0.,-0.007874,0.047244,0.03937,-0.007874,0.03937,7,1,0.243084,0
67,0.023622,0.,-0.007874,-0.015748,-0.007874,0.007874,-0.007874,0.031496,7,1,0.243084,0
68,0.007874,0.007874,0.015748,0.,-0.023622,0.023622,0.007874,0.031496,7,1,0.243084,0
69,0.023622,-0.015748,-0.015748,0.015748,0.023622,0.015748,0.015748,0.133858,7,1,0.223734,0
70,0.023622,-0.023622,-0.007874,-0.047244,-0.204724,-0.03937,-0.031496,-0.03937,7,1,0.223734,0
71,-0.031496,-0.007874,-0.007874,0.,0.110236,-0.015748,0.015748,0.055118,7,1,0.204384,0
72,-0.031496,0.,-0.031496,-0.03937,-0.062992,0.,0.,0.047244,7,1,0.204384,0
73,-0.007874,0.007874,0.007874,0.023622,0.007874,-0.031496,-0.007874,0.007874,7,1,0.165684,0
74,-0.007874,0.,-0.007874,0.015748,0.,-0.015748,-0.007874,0.015748,7,1,0.165684,0
75,-0.023622,-0.007874,-0.007874,0.007874,0.031496,-0.047244,-0.047244,-0.031496,7,1,0.165684,0
76,0.015748,-0.015748,-0.023622,-0.03937,-0.007874,-0.047244,0.,0.07874,7,1,0.165684,0
77,-0.03937,-0.015748,-0.007874,-0.023622,-0.047244,-0.023622,-0.007874,0.,7,1,0.146334,0
78,-0.015748,-0.007874,0.,0.007874,-0.023622,-0.047244,-0.007874,0.110236,7,1,0.146334,0
79,0.007874,-0.023622,-0.031496,-0.062992,-0.03937,0.,-0.015748,-0.007874,7,1,0.146334,0
80,0.023622,-0.007874,-0.023622,0.,-0.023622,0.015748,-0.015748,0.015748,7,1,0.146334,0
81,-0.03937,0.007874,0.015748,0.,-0.031496,-0.007874,-0.015748,-0.03937,7,1,0.107634,0
82,-0.023622,-0.031496,-0.031496,-0.007874,0.015748,-0.055118,0.,0.007874,7,1,0.107634,0
